continent,country,studysize,cases,method,Rate10-4,CLL,CLU
Europe,France,9395,14,Clinical,14.9,8.9,24.9
Europe,Finland,7217,11,Clinical,15,8,27
Europe,Greece,1705,5,Clinical,29.3,12.5,68.5
Europe,Greece,8740,19,mNY,24,16,32
Europe,Hungary,6469,15,NY,23.2,14.1,38.2
Europe,Italy,2155,8,mNY,37,23,49
Europe,Lithuania,4244,4,Clinical,9.4,3.7,24.2
Europe,Turkey,2835,14,mNY,49,26,85
Europe,Turkey,17835,15,Rome,11.9,11.3,12.5
Asia,Bangladesh,5160,3,Clinical,5.8,1.9,17.1
Asia,Philippines,3006,1,ACR,3,0,10
Asia,Pakistan,4232,2,Clinical,4.7,1.3,17.2
Asia,India,8145,5,Clinical,7,4,12
Asia,India,4092,4,Clinical,9.8,3.8,25.1
Asia,Malaysia,2954,4,Clinical,24.3,11.3,51.9
Asia,Vietnam,2119,1,Clinical,4.7,0.8,26.7
Asia,China,2040,4,mNY,19.6,7.6,50.3
Asia,China,6584,8,mNY,11,3,19
Asia,China,4192,13,Clinical,26,11,42
Asia,China,5057,13,,26,14,40
Asia,China,10921,29,mNY,25.3,15.9,34.7
Asia,China,5922,22,NY,37.1,24.5,56.2
Asia,Iran,10291,12,Clinical,11.7,6.7,20.4
Asia,Taiwan,8998,15,NY,33.7,23.6,47.9
America,Cuba,3155,6,Clinical,19,8,40
America,Mexico,19213,,mNY,15,9,20
America,Mexico,3915,1,mNY,2.6,0.5,14.5
America,Mexico,4713,2,mNY,4.2,1.2,15.5
America,USA,4688,15,Clinical,31.9,19.4,52.7
Africa,South Africa,1352,1,Clinical,7.4,1.3,41.8
